x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,type
-10347,-13795,-3455,-4.68,-4.72,-3.13,1
-32768,-28030,15735,-11.10,-3.37,4.81,1
-2314,-14442,-6583,-0.75,-5.34,-4.79,1
-8363,-15097,-5809,-3.88,-4.60,-4.04,1
-2224,-4481,2443,-1.77,-2.09,0.46,1
-14450,-19889,-4679,-6.01,-11.68,-4.18,1
-2352,-6944,-6890,-0.81,-3.20,-6.19,1
-11704,-20292,-4701,-5.31,-4.78,-1.92,1
-8744,-9964,-10905,-4.04,-1.46,-5.57,1
-13307,-23933,-3527,-8.30,-9.48,-3.56,1
-6655,-27415,-14421,-2.80,-9.03,-6.15,1
-16967,-27433,-934,-7.27,-9.62,-2.42,1
-11436,-24158,-14738,-4.03,-9.95,-4.02,1
-9316,-23788,-10691,-4.37,-9.24,-5.69,1
-3743,-17527,-8389,-3.67,-9.42,-6.26,1
-8983,-24172,-12256,-3.30,-6.39,-4.48,1
-13622,-13713,-11354,-4.78,-4.16,-4.43,1
2987,-17580,29073,-5.43,-2.18,14.00,1
-6267,-20300,2552,-3.27,-5.97,0.05,1
-2309,-18790,-6142,-0.70,-7.88,-7.69,1
-29540,-29582,-12291,-9.24,-15.81,-5.95,1
2080,-11565,-5199,-1.09,-1.80,-0.87,1
-3751,-13312,-9102,-0.44,-5.62,-3.85,1
3988,-11582,-2516,2.65,-8.72,-2.48,1

15851,-32768,-7433,9.41,-15.90,-1.43,0
18924,-32768,-6617,10.32,-16.00,-1.29,0
12650,-14398,5332,5.31,-5.04,1.34,0
6018,-20355,11153,5.67,-6.05,2.23,0
7621,-16893,1958,2.39,-8.80,0.68,0
4417,-14079,1445,0.85,-7.85,-0.33,0
6983,-22887,3170,2.15,-8.76,0.94,0
4835,-12024,2126,1.70,-6.67,0.03,0
10907,-15090,-143,2.98,-5.81,-0.37,0
3521,-21349,911,0.07,-7.54,-0.56,0
10868,-18915,6283,3.74,-7.43,2.41,0
11453,-20989,1166,4.75,-8.95,0.93,0
15227,-17058,1277,5.86,-6.99,1.31,0
6470,-18463,7745,2.03,-8.05,0.94,0
9432,-12551,-122,2.85,-6.92,0.07,0
2457,-14292,-1202,0.80,-4.15,-0.64,0
1235,-13834,-342,0.20,-5.68,-0.82,0
1986,-9264,3622,0.34,-3.30,1.57,0
9511,-20996,7495,3.32,-7.38,2.51,0
14366,-22739,7327,5.73,-8.41,5.37,0
11321,-20920,3361,4.11,-8.79,3.26,0
5767,-20022,-2815,1.58,-9.13,-1.89,0
5262,-26661,-4427,1.15,-12.74,-2.24,0
8993,-22562,-4308,3.55,-7.86,-1.29,0
2771,-25408,-3208,1.23,-10.25,-1.34,0
5094,-16789,-231,1.33,-8.58,-0.01,0
3150,-18182,428,0.44,-5.76,0.19,0
-558,-24234,2412,0.45,-9.34,-1.16,0
-913,-18827,170,-0.04,-6.84,-0.58,0
1256,-19910,-207,0.34,-5.42,-0.56,0
5862,-29525,-2054,0.81,-12.44,-0.79,0
5987,-32193,-4836,1.09,-13.66,-2.68,0
390,-22312,-1336,-0.23,-10.40,-0.74,0
-1727,-29295,-12076,0.56,0.56,0.56,0
1365,-27103,-9016,0.08,0.08,0.08,0
5417,-29335,-1547,0.71,-13.03,-0.94,0
12458,-24042,4052,4.80,-9.17,2.81,0
-266,-12639,-2567,-0.06,-2.75,-2.75,0
8270,-27639,-5437,1.62,-9.73,-2.34,0
3116,-21967,-4385,0.76,-9.03,-2.03,0
1690,-10181,2310,0.21,-2.31,0.24,0
11027,-29347,5286,3.83,-10.25,2.36,0
941,-20950,-2156,-0.06,-7.27,-1.61,0
4173,-21613,-1207,1.08,-9.56,0.29,0
-1349,-15402,1902,0.21,-5.02,0.37,0
-183,-12682,2860,-0.34,-5.23,0.63,0
-337,-11551,129,-1.06,-7.88,-0.92,0
-532,-6718,6587,-0.80,-2.82,2.41,0
3823,-11445,2018,1.01,-5.56,1.58,0
-186,-10213,5397,-0.46,-3.29,1.55,0
